"","x"
"123",229.863893357602
"124",267.679223909612
"125",269.73240746965
"126",281.284562210214
"127",278.756001335747
"128",275.581773720371
"129",246.715877097756
"130",188.395391011827
"131",241.282760441501
"132",303.564396916414
"133",270.328194717899
"134",305.97423234805
"135",302.522252412661
"136",282.0250230524
"137",227.646681880853
"138",220.345099805018
"139",267.563661136043
"140",270.701326302507
"141",275.340312290992
"142",243.164886045205
"143",213.35483397086
"144",207.720736291788
"145",244.285222050873
"146",266.703728013311
"147",304.412133354528
"148",311.091939832619
"149",284.374261960311
"150",267.518324067838
"151",214.933531199698
"152",201.178799823444
"153",252.888921123295
"154",269.641381601038
"155",277.606449456303
"156",276.106408008194
"157",283.796994442583
"158",277.433190943376
"159",247.614072373723
"160",237.006288652835
"161",258.369684960428
"162",261.947759983011
"163",283.431722718577
"164",296.596211660368
"165",301.599726609739
"166",244.179271603448
"167",208.836272959716
"168",251.810725974636
"169",255.076343930324
"170",231.015870679147
"171",235.495801364507
"172",200.192678088427
"173",232.24094955287
"174",239.542613151408
"175",261.877384089387
"176",220.968557402219
"177",223.698366405888
"178",230.751723950439
"179",282.680616857215
"180",270.297716071279
"181",237.35657005208
"182",222.64707548719
"183",243.775699597202
"184",274.77640808757
"185",237.651802846166
"186",211.108309855603
"187",262.880533872621
"188",263.354566933054
"189",237.609751024304
"190",254.651229008224
"191",269.900026082076
"192",252.766770244435
"193",246.162980243709
"194",227.767752093789
"195",244.944705106261
"196",214.894786637333
"197",223.537480941184
"198",215.324934223513
"199",191.817525490215
"200",199.843808840436
"201",211.024448918386
"202",197.673949341927
"203",211.677683958375
"204",183.155959740832
"205",183.39084207461
"206",200.830550015413
"207",201.349228689102
"208",232.330771180923
"209",248.8794933376
"210",226.541437943585
"211",211.904055836532
"212",194.494629312382
"213",204.655137170887
"214",232.845881462511
"215",265.465859575102
"216",238.769670493227
"217",215.451898921728
"218",221.436560355006
"219",221.230137738397
"220",232.268279997364
"221",243.001833000178
"222",253.313384572885
"223",255.023510848238
"224",224.424285959959
"225",230.024484147394
"226",239.976020126609
"227",237.112482516835
"228",224.391642113847
"229",229.116007254917
"230",239.805690171135
"231",206.839476238231
"232",215.954583040729
"233",264.077601002663
"234",219.23110312654
"235",248.409185375948
"236",239.489915288666
"237",235.481041881195
"238",223.109480478179
"239",204.057222195701
"240",231.571861438599
"241",228.019735695587
"242",232.646489420924
"243",226.892928928944
"244",235.485902525572
"245",242.738181412664
"246",245.498099374702
"247",277.795093969522
"248",241.234027079822
"249",224.14993101038
"250",237.298903457926
"251",257.85134409056
"252",231.093988039879
"253",222.720215768225
"254",236.886565129446
"255",225.981969329113
"256",226.401722542827
"257",218.067769161683
"258",226.474054132961
"259",223.125541175788
"260",212.850778029441
"261",194.987159134417
"262",240.685318161029
"263",260.506618394494
"264",211.094044482103
"265",164.941231513169
"266",195.732445841815
"267",231.630255983396
"268",247.214637368834
"269",251.13751277562
"270",225.249740211359
"271",213.206051483908
"272",247.21006490758
"273",203.010789692076
"274",276.58395509486
"275",301.753605003533
"276",239.92419997553
"277",261.9016297752
"278",257.577578459299
"279",242.069816468459
"280",259.458935624796
"281",250.93202024995
"282",240.837669419933
"283",226.374809065152
"284",210.137059703448
"285",222.228250536141
"286",259.38448194245
"287",298.883939754406
"288",325.727813931006
"289",291.019187946797
"290",252.447186595054
"291",237.883013427565
"292",223.268088216886
"293",267.104896018041
"294",262.169501130371
"295",250.379608994831
"296",274.987191048757
"297",256.317436671229
"298",260.415165867999
"299",282.938579945972
"300",220.922194355967
"301",244.439905183744
"302",210.678326425158
"303",245.980487097552
"304",256.44041152113
"305",262.382187091082
"306",273.92889257807
"307",290.516921310047
"308",295.959168049603
"309",278.837111980434
"310",263.857687439615
"311",217.035645376436
"312",196.27908126539
"313",227.070948837819
"314",243.153668028459
"315",295.821266976762
"316",275.012131856748
"317",292.998239987798
"318",306.631037210505
"319",253.287696691755
